genome	AMO_Group	AMO_Group_Phy	AMO_Group_Phy_2
GCA_003702495.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003702525.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003702545.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003724285.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003724325.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_006740685.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_900620265.1	AMO_NP	AMO_NP	Nitrosospherales
14_0929_12_30cm_Thaumarchaeota_7395_39_7	AMO_NP	AMO_NP	Nitrosospherales
GCF_900167955.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_900065925.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_900177045.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_900143675.1	AMO_NP	AMO_NP	Nitrosospherales
14_0903_16_40cm_Thaumarchaeota_5674_38_9	AMO_NP	AMO_NP	Nitrosospherales
GCA_005877205.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_007280465.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_002787055.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_000685395.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_000955905.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_000723185.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002499525.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_004322465.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_005240025.1	AMO_NP	AMO_NP	Nitrosospherales
14_1009_12_30cm_Thaumarchaeota_8534_36_6	AMO_NP	AMO_NP	Nitrosospherales
GCA_005877305.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_007280335.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_013330055.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_001870125.1	AMO_NP	AMO_NP	Nitrosospherales
GCF_900696045.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_000802205.2	AMO_NP	AMO_NP	Nitrosospherales
GCA_000730285.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_000303155.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002494895.1	AMO_NP	AMO_NP	Nitrosospherales
14_1009_05_40cm_Candidatus_Nitrososphaera_gargensis_4356_47_8	AMO_NP	AMO_NP	Nitrosospherales
GCF_000698785.1	AMO_NP	AMO_NP	Nitrosospherales
14_0929_05_40cm_Nitrososphaera_3389_34_9	AMO_NP	AMO_NP	Nitrosospherales
14_0927_05_40cm_Thaumarchaeota_2325_35_9	AMO_NP	AMO_NP	Nitrosospherales
GCA_003176995.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002495315.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003135575.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003164815.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002495205.1	AMO_NP	AMO_NP	Nitrosospherales
14_1009_16_30cm_Archaea_9812_57_7	AMO_NP	AMO_NP	Nitrosospherales
GCA_005877225.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002713325.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002494565.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002495905.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002693165.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_002713205.1	AMO_NP	AMO_NP	Nitrosospherales
GCA_003663565.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003663585.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003650935.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003649745.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003651045.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003649845.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003649715.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002254885.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002900535.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001595915.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001595945.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496355.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506745.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002900555.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003942085.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003650975.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002011355.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502685.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002838935.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329495.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002254385.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001875345.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506485.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002718915.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002724775.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001875425.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002509225.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002509165.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002687355.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002731655.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002731905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003193815.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002692465.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002696315.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002699515.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002720095.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002720275.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002507425.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002689345.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002694245.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002701145.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002706615.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002709705.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002710015.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002710205.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002715725.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002720115.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002727515.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002727695.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602415.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602535.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_004195515.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002699425.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002719395.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_000246735.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002170315.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002172355.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495535.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495945.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496955.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499015.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499545.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499705.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502605.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505355.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506275.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002687075.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002688825.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002697705.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002702945.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002726395.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002729095.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602575.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602605.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602645.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013330285.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329865.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329925.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329355.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329255.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329295.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002171315.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496635.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499195.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502215.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002698145.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002706065.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002722615.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002726845.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
