genome	AMO_Group	AMO_Group_Phy	AMO_Group_Phy_2
GCA_002504525.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000404225.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000308215.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002067635.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002508545.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001563305.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506175.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000300255.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000350305.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_001481295.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_001560915.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495325.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503545.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000800805.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_006954405.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003550345.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003555025.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003557905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003560875.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_007116915.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_007117455.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001421175.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502965.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506255.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002504405.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002504495.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506425.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_006954425.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_006954465.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329105.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498365.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498605.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505345.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002509405.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003135935.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003153895.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002067865.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002067045.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002497075.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_004525545.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329565.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003551065.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003552585.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003551675.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003554965.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003555395.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003553085.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003560595.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_007133925.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_007129655.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001595885.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496385.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499085.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001856825.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_001402945.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002204705.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_900083515.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_002078355.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_000496135.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_000965745.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_900176435.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001316105.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000195915.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_003205235.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000011185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503205.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498845.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502705.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001800675.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001800815.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013331315.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329135.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503985.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002494765.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495235.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
14_0903_16_40cm_Archaea_5750_52_12	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0929_05_30cm_unknown_3278_52_7	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_1009_12_30cm_Archaea_8546_52_24	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001915065.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001918745.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001918765.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0927_12_40cm_Archaea_6568_52_16	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002495485.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_1009_13_30cm_unknown_9115_52_8	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_005881695.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0929_09_40cm_unknown_7058_52_11	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_1009_13_40cm_Archaea_9334_53_6	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_005882955.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_005883075.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_005883085.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0927_12_20cm_unknown_6373_52_11	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_005884195.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0903_16_40cm_unknown_5721_52_12	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0927_02_20cm_Archaea_1920_52_9	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0903_09_30cm_unknown_10603_52_8	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_005888755.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_0929_05_30cm_Archaea_3251_51_9	Non_AMO	Non_AMO_TPR	Other Thermoproteota
14_1009_05_40cm_unknown_4379_53_10	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001768965.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003152955.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001775955.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_007050885.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001593865.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001593855.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003662305.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003662485.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003662515.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661965.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002011035.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002490245.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003662645.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001593925.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001593935.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601695.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601725.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661975.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601835.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003662715.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001399805.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001399795.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003096235.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003096255.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004376385.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004376295.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004376645.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002779555.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001273385.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002010975.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601605.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003133625.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003141855.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003151735.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003164295.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003165195.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003589585.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601785.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601875.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_007050895.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004376975.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_013330975.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002010925.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002507245.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661945.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002255025.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001775995.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001593875.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003662205.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002726865.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003601775.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001775965.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001774245.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_013329615.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661385.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000019605.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003344655.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003947435.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661265.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661365.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649185.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649145.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649085.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001717035.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001717025.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001717015.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004028775.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004347955.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004348015.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649615.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649565.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003650865.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_004347965.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000270325.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002898355.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002898395.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000494145.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003660635.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003056285.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002255045.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661505.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002011075.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661605.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002506605.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002499005.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000144915.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000495735.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002496425.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003431325.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000591035.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000011125.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000317795.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002506595.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002877855.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003116855.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000513855.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000186365.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002254665.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661825.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000092465.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000015945.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000264495.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000092185.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002495025.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002899805.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000258425.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000017945.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001481685.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661905.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000145985.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661775.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661865.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002255065.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003661745.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003056265.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000015145.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001412615.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001462395.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000223395.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003978665.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002254745.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000375685.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000380705.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003019595.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003019535.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002507085.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003650925.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649665.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000389735.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000632495.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000213215.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002116695.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003201765.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003201835.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000565255.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000204925.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001315825.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000016605.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000243315.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003086555.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000022385.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_900079115.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001719125.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_003967175.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001316045.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001316085.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000012285.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000508305.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000011205.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649445.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003650815.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649515.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003650785.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003650675.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649235.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649225.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002254595.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649495.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002855745.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000993805.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000813245.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000015225.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_003649205.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000018305.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001663375.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002506515.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001315925.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001516585.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002508315.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_001748385.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000148385.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001316005.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001316125.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002506645.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001315985.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000190315.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001316025.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001316245.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001316265.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001316285.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002496475.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000007225.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000015805.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000234805.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000015205.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000019805.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000247545.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_001189275.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_000960885.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_002077075.2	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCA_002497345.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000253055.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
GCF_000193375.1	Non_AMO	Non_AMO_TPR	Other Thermoproteota
